run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,NORWICH,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108,71.296296,24.824074
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,NORWICH,FLYBE LTD,S,115,0,12,10.236220,39.370079,22.834646,6.299213,6.299213,4.724409,0.000000,0.787402,0.000000,0.000000,9.448819,10.695652,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,SCATSTA,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,39.333333
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,120,0,39,23.899371,6.289308,19.496855,5.031447,5.031447,5.031447,6.289308,3.773585,0.628931,0.000000,24.528302,40.333333,304,71.052632,17.371711
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,229,0,3,9.051724,45.258621,35.775862,1.724138,2.586207,2.586207,0.862069,0.431034,0.431034,0.000000,1.293103,9.563319,254,81.889764,10.433071
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,82,60.975610,21.512195
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,FLYBE LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,100.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,SOUTHEND,FLYBE LTD,S,2,0,0,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.500000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,STORNOWAY,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42,66.666667,16.738095
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,STORNOWAY,FLYBE LTD,S,40,0,0,12.500000,32.500000,22.500000,20.000000,5.000000,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,13.000000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,DURHAM TEES VALLEY,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106,72.641509,13.103774
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,DURHAM TEES VALLEY,FLYBE LTD,S,93,0,14,1.869159,28.037383,23.364486,18.691589,9.345794,3.738318,1.869159,0.000000,0.000000,0.000000,13.084112,17.924731,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,85,68.235294,20.388235
19/11/2018 17:22,201809,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,FLYBE LTD,S,66,0,6,1.388889,26.388889,27.777778,8.333333,6.944444,5.555556,9.722222,5.555556,0.000000,0.000000,8.333333,39.803030,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,BELGIUM,ANTWERP,TYROLEAN AIRWAYS,S,0,0,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,48,0,2,0.000000,14.000000,26.000000,24.000000,16.000000,12.000000,4.000000,0.000000,0.000000,0.000000,4.000000,28.916667,46,84.782609,5.217391
19/11/2018 17:22,201809,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,S,40,0,0,10.000000,50.000000,22.500000,5.000000,5.000000,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,10.825000,40,82.500000,20.200000
19/11/2018 17:22,201809,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,S,95,0,14,0.917431,31.192661,34.862385,11.009174,4.587156,3.669725,0.917431,0.000000,0.000000,0.000000,12.844037,13.389474,114,86.842105,6.859649
19/11/2018 17:22,201809,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120,80.000000,12.058333
19/11/2018 17:22,201809,ABERDEEN,GERMANY,HAHN,RYANAIR,S,1,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.000000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,GREECE,CORFU,EUROPE AIRPOST,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,80.000000,47.500000
19/11/2018 17:22,201809,ABERDEEN,GREECE,CORFU,TUI AIRWAYS LTD,C,8,0,0,12.500000,50.000000,25.000000,12.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.125000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,ICELAND,KEFLAVIK,FLUGFELAG ISLANDS(AIR ICELAND),S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26,84.615385,5.461538
19/11/2018 17:22,201809,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,S,82,0,2,8.333333,51.190476,22.619048,10.714286,4.761905,0.000000,0.000000,0.000000,0.000000,0.000000,2.380952,5.085366,94,80.851064,11.627660
19/11/2018 17:22,201809,ABERDEEN,MALTA,MALTA,RYANAIR,S,17,0,0,0.000000,0.000000,47.058824,29.411765,17.647059,5.882353,0.000000,0.000000,0.000000,0.000000,0.000000,23.705882,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,S,52,0,4,0.000000,44.642857,32.142857,10.714286,3.571429,1.785714,0.000000,0.000000,0.000000,0.000000,7.142857,7.807692,120,70.000000,15.908333
19/11/2018 17:22,201809,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,S,239,0,0,1.673640,31.799163,46.861925,8.786611,7.949791,2.928870,0.000000,0.000000,0.000000,0.000000,0.000000,10.414226,112,69.642857,16.151786
19/11/2018 17:22,201809,ABERDEEN,NETHERLANDS,ROTTERDAM,SPRINTAIR,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,100.000000,9.000000
19/11/2018 17:22,201809,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,S,86,0,4,0.000000,25.555556,51.111111,13.333333,3.333333,2.222222,0.000000,0.000000,0.000000,0.000000,4.444444,8.069767,88,85.227273,5.875000
19/11/2018 17:22,201809,ABERDEEN,NORWAY,OSLO (GARDERMOEN),BMI REGIONAL,S,37,0,1,2.631579,31.578947,42.105263,15.789474,5.263158,0.000000,0.000000,0.000000,0.000000,0.000000,2.631579,8.513514,40,85.000000,11.750000
19/11/2018 17:22,201809,ABERDEEN,NORWAY,OSLO (GARDERMOEN),SAS,S,50,0,0,0.000000,46.000000,46.000000,6.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.220000,49,100.000000,2.693878
19/11/2018 17:22,201809,ABERDEEN,NORWAY,STAVANGER,SAS,S,88,0,2,0.000000,38.888889,40.000000,11.111111,4.444444,2.222222,0.000000,1.111111,0.000000,0.000000,2.222222,11.795455,130,93.846154,3.207692
19/11/2018 17:22,201809,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,S,80,0,10,0.000000,32.222222,37.777778,10.000000,2.222222,4.444444,2.222222,0.000000,0.000000,0.000000,11.111111,13.900000,90,100.000000,0.700000
19/11/2018 17:22,201809,ABERDEEN,PORTUGAL(EXCLUDING MADEIRA),FARO,EUROPE AIRPOST,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,62.500000,11.500000
19/11/2018 17:22,201809,ABERDEEN,PORTUGAL(EXCLUDING MADEIRA),FARO,RYANAIR,S,18,0,0,16.666667,50.000000,16.666667,11.111111,5.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.555556,18,72.222222,16.333333
19/11/2018 17:22,201809,ABERDEEN,SPAIN,ALICANTE,RYANAIR,S,18,0,0,11.111111,33.333333,55.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.166667,16,43.750000,21.562500
19/11/2018 17:22,201809,ABERDEEN,SPAIN,IBIZA,EUROPE AIRPOST,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,87.500000,10.000000
19/11/2018 17:22,201809,ABERDEEN,SPAIN,IBIZA,TUI AIRWAYS LTD,C,8,0,0,12.500000,50.000000,25.000000,12.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.125000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,SPAIN,MALAGA,RYANAIR,S,18,0,0,27.777778,33.333333,33.333333,0.000000,0.000000,0.000000,0.000000,5.555556,0.000000,0.000000,0.000000,12.222222,16,68.750000,10.187500
19/11/2018 17:22,201809,ABERDEEN,SPAIN,PALMA DE MALLORCA,EUROPE AIRPOST,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28,57.142857,23.892857
19/11/2018 17:22,201809,ABERDEEN,SPAIN,PALMA DE MALLORCA,TUI AIRWAYS LTD,C,25,0,0,0.000000,28.000000,28.000000,8.000000,12.000000,24.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.280000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,SPAIN,REUS,TUI AIRWAYS LTD,C,10,0,0,20.000000,50.000000,10.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.000000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,SPAIN(CANARY ISLANDS),LAS PALMAS,EUROPE AIRPOST,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,100.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,SPAIN(CANARY ISLANDS),LAS PALMAS,TUI AIRWAYS LTD,C,8,0,0,0.000000,62.500000,37.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.875000,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),EUROPE AIRPOST,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,87.500000,12.375000
19/11/2018 17:22,201809,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),TUI AIRWAYS LTD,C,9,0,0,11.111111,55.555556,0.000000,11.111111,22.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.333333,0,0.000000,0.000000
19/11/2018 17:22,201809,ABERDEEN,TURKEY,DALAMAN,TUI AIRWAYS LTD,C,8,0,0,0.000000,12.500000,62.500000,0.000000,12.500000,12.500000,0.000000,0.000000,0.000000,0.000000,0.000000,18.500000,8,87.500000,39.000000
